id,num,name,address,latitude,longitude,stands,maxstands
234,231,231_AVENIDA ALCALDE LUIS URUÑUELA,AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Paseo Miguel de Unamuno,37.4016735464566,-5.94213904101466,15,15
235,127,127_CALLE VIRGEN DE LA VICTORIA,CALLE VIRGEN DE LA VICTORIA - Aprox. C/ Asunción,37.3776404307786,-5.99794722282048,15,15
236,183,183_ALCALDE MANUEL DEL VALLE,ALCALDE MANUEL DEL VALLE - Aprox. C/ Pino Montano,37.4110175737739,-5.97121914827267,15,15
237,238,238_CIUDAD DE CHIVA,CIUDAD DE CHIVA - Aprox. Pza del Árbol Rey,37.4081325738308,-5.91999304848619,15,15
238,39,039_PLAZA SAN ANTONIO DE PADUA,PLAZA SAN ANTONIO DE PADUA - Aprox. C/ Marqués de la Mina,37.3978400223044,-5.99850468687796,20,20
239,53,053_CALLE REYES CATÓLICOS,CALLE REYES CATÓLICOS - Aprox. C/ Gravina,37.389341476893,-5.99960523538244,17,17
240,131,131_CALLE TABLADILLA,CALLE TABLADILLA - Aprox. C/ Cardenal Ilundaín,37.3647503853737,-5.98145215748501,20,20
241,35,035_ALAMEDA DE HERCULES,ALAMEDA DE HERCULES - Aprox. Calle Peris Mencheta,37.4006825243513,-5.99363022093919,20,20
242,56,056_PLAZA JERÓNIMO DE CORDOBA,PLAZA JERONIMO DE CORDOBA- Aprox. C/ Escuelas Pías,37.3930864964444,-5.98703819345455,20,20
243,129,129_CALLE VIRGEN DE LUJAN,CALLE VIRGEN DE LUJAN - Aprox. Virgen de la Victoria,37.374668417254,-6.00245523692811,20,20
244,174,174_RONDA TAMARGUILLO,RONDA TAMARGUILLO - Aprox. Marqués de Pickman,37.3806124563762,-5.96057409342669,20,20
245,55,055_CALLE DE MARIA AUXILIADORA,CALLE DE MARIA AUXILIADORA - Aprox. C/ Gonzalo de Bilbao,37.3933184985689,-5.98376618209862,15,15
246,47,047_CALLE HINIESTA,CALLE HINIESTA - Aprox. Convento Santa Isabel,37.3971325125933,-5.98703719576843,15,15
247,228,228_AVENIDA DE LAS CIENCIAS,AVENIDA DE LAS CIENCIAS - Aprox. C/ Flor de Salvia,37.3944495237854,-5.92123096356052,15,15
